System,Brand,Range,Type,Mount,Lens,FL (mm),Max FL (mm),Max. Aper.,Filter (mm),MFD (cm),Diam. (mm),Diam. (in.),Length (mm),Length (in.),Weight (g),Weight (oz),IS,WR,Elements,Blades,Price (new),Notes
Third-Party,Samyang/Rokinon,Full-Frame,Prime,E,Samyang AF 24mm F2.8 FE,24,24,f/2.8,49,24,61.8,2.43,37,1.46,120,4.23,No,No,,,349,Released 2018
Third-Party,Samyang/Rokinon,Full-Frame,Prime,E,Samyang AF 35mm F1.4 FE,35,35,f/1.4,67,30,75.9,2.99,115,4.53,645,22.75,No,No,,,799,Released 2017
Third-Party,Samyang/Rokinon,Full-Frame,Prime,E,Samyang AF 35mm F1.4 FE II,35,35,f/1.4,67,29,75,2.95,115,4.53,659,23.25,No,No,,,899,Released 2022
Third-Party,Samyang/Rokinon,Full-Frame,Prime,E,Samyang AF 35mm F1.4 P FE,35,35,f/1.4,67,30,75,2.95,99.2,3.91,470,16.58,No,No,,,699,Released 2024
Third-Party,Samyang/Rokinon,Full-Frame,Prime,E,Samyang AF 35mm F1.8 FE,35,35,f/1.8,58,29,65,2.56,63.5,2.50,210,7.41,No,No,,,399,Released 2020
Third-Party,Samyang/Rokinon,Full-Frame,Prime,E,Samyang AF 35mm F1.8 P FE,35,35,f/1.8,62,27,69.8,2.75,71.5,2.81,216,7.62,No,No,,,449,Released 2026
Third-Party,Samyang/Rokinon,Full-Frame,Prime,E,Samyang AF 35mm F2.8 FE,35,35,f/2.8,49,35,61.8,2.43,33,1.30,108,3.81,No,No,,,349,Released 2017
Third-Party,Samyang/Rokinon,Full-Frame,Prime,E,Samyang AF 45mm F1.8 FE,45,45,f/1.8,49,45,61.8,2.43,56.1,2.21,162,5.71,No,No,,,499,Released 2019
Third-Party,Samyang/Rokinon,Full-Frame,Prime,E,Samyang AF 50mm F1.4 FE,50,50,f/1.4,67,45,73.5,2.89,97.7,3.85,585,20.64,No,No,,,699,Released 2016
Third-Party,Samyang/Rokinon,Full-Frame,Prime,E,Samyang AF 50mm F1.4 FE II,50,50,f/1.4,72,40,80.1,3.15,88.9,3.50,420,14.82,No,No,,,899,Released 2021
Third-Party,Samyang/Rokinon,Full-Frame,Prime,E,Samyang AF 75mm F1.8 FE,75,75,f/1.8,58,69,65,2.56,69,2.72,230,8.11,No,No,,,399,Released 2020
Third-Party,Samyang/Rokinon,Full-Frame,Prime,E,Samyang AF 85mm F1.4 FE,85,85,f/1.4,77,90,88,3.46,99.5,3.92,568,20.04,No,No,,,699,Released 2019
Third-Party,Samyang/Rokinon,Full-Frame,Prime,E,Samyang AF 85mm F1.4 FE II,85,85,f/1.4,72,85,83.4,3.28,99.5,3.92,509,17.96,No,No,,,799,Released 2022
Third-Party,Samyang/Rokinon,Full-Frame,Prime,E,Samyang AF 85mm F1.8 P FE,85,85,f/1.8,62,80,69.8,2.75,71.5,2.81,272,9.60,No,No,,,449,Released 2025
Third-Party,Samyang/Rokinon,Full-Frame,Prime,E,Samyang AF 135mm F1.8 FE,135,135,f/1.8,82,69,93.4,3.68,129.6,5.10,772,27.23,No,No,,,1399,Released 2022
Third-Party,Sigma,Full-Frame,Prime,E,Sigma 14mm F1.4 DG DN | Art,14,14,f/1.4,N/A,30,101.4,3.99,151.9,5.98,1160,40.92,No,No,,,1599,Released 2023
Third-Party,Sigma,Full-Frame,Prime,E,Sigma 14mm F1.8 DG HSM | Art,14,14,f/1.8,N/A,27,95.4,3.76,152,5.98,1170,41.27,No,No,,,1599,Released 2017
Third-Party,Sigma,Full-Frame,Prime,E,Sigma 15mm F1.4 DG DN Diagonal Fisheye | Art,15,15,f/1.4,N/A,38.5,104,4.09,159.9,6.30,1360,47.97,No,No,,,1999,Released 2024; Fisheye
Third-Party,Sigma,Full-Frame,Prime,E,Sigma 17mm F4 DG DN | Contemporary (I series),17,17,f/4,55,12,64,2.52,50.8,2.00,220,7.76,No,No,,,599,Released 2023
Third-Party,Sigma,Full-Frame,Prime,E,Sigma 20mm F1.4 DG DN | Art,20,20,f/1.4,82,23,87.8,3.46,113.2,4.46,630,22.22,No,No,,,899,Released 2022
Third-Party,Sigma,Full-Frame,Prime,E,Sigma 20mm F1.4 DG HSM | Art,20,20,f/1.4,N/A,27.6,90.7,3.57,155.8,6.13,1015,35.80,No,No,,,899,Released 2018
Third-Party,Sigma,Full-Frame,Prime,E,Sigma 20mm F2 DG DN | Contemporary (I series),20,20,f/2,62,22,70,2.76,74.4,2.93,370,13.05,No,No,,,699,Released 2022
Third-Party,Sigma,Full-Frame,Prime,E,Sigma 24mm F1.4 DG DN | Art,24,24,f/1.4,72,25,75.7,2.98,97.5,3.84,510,17.99,No,No,,,799,Released 2022
Third-Party,Sigma,Full-Frame,Prime,E,Sigma 24mm F1.4 DG HSM | Art,24,24,f/1.4,77,25,85.4,3.36,116.2,4.57,740,26.10,No,No,,,799,Released 2018
Third-Party,Sigma,Full-Frame,Prime,E,Sigma 24mm F2 DG DN | Contemporary (I series),24,24,f/2,62,24.5,70,2.76,74,2.91,360,12.70,No,No,,,639,Released 2021
Third-Party,Sigma,Full-Frame,Prime,E,Sigma 24mm F3.5 DG DN | Contemporary (I series),24,24,f/3.5,55,10.8,64,2.52,50.8,2.00,230,8.11,No,No,,,549,Released 2020
Third-Party,Sigma,Full-Frame,Prime,E,Sigma 28mm F1.4 DG HSM | Art,28,28,f/1.4,77,28,82.8,3.26,133.7,5.26,925,32.63,No,No,,,799,Released 2018
Third-Party,Sigma,Full-Frame,Prime,E,Sigma 35mm F1.2 DG DN | Art,35,35,f/1.2,82,30,87.8,3.46,138.2,5.44,1080,38.10,No,No,,,1499,Released 2019
Third-Party,Sigma,Full-Frame,Prime,E,Sigma 35mm F1.4 DG HSM | Art,35,35,f/1.4,67,30,77,3.03,120,4.72,755,26.63,No,No,,,899,Discontinued
Third-Party,Sigma,Full-Frame,Prime,E,Sigma 35mm F1.4 DG DN | Art,35,35,f/1.4,67,30,75.5,2.97,111.5,4.39,640,22.58,No,No,,,899,Released 2021
Third-Party,Sigma,Full-Frame,Prime,E,Sigma 35mm F2 DG DN | Contemporary (I series),35,35,f/2,58,27,70,2.76,67.4,2.65,325,11.46,No,No,,,639,Released 2020
Third-Party,Sigma,Full-Frame,Prime,E,Sigma 40mm F1.4 DG HSM | Art,40,40,f/1.4,82,40,87.8,3.46,157,6.18,1260,44.45,No,No,,,1399,Released 2018
Third-Party,Sigma,Full-Frame,Prime,E,Sigma 45mm F2.8 DG DN | Contemporary (I series),45,45,f/2.8,55,24,64,2.52,48.2,1.90,230,8.11,No,No,,,549,Released 2019
Third-Party,Sigma,Full-Frame,Prime,E,Sigma 50mm F1.2 DG DN | Art,50,50,f/1.2,72,40,81,3.19,110.8,4.36,740,26.10,No,No,,,1399,Released 2024
Third-Party,Sigma,Full-Frame,Prime,E,Sigma 50mm F1.4 DG HSM | Art,50,50,f/1.4,77,40,85.4,3.36,149.5,5.89,815,28.75,No,No,,,949,Released 2018
Third-Party,Sigma,Full-Frame,Prime,E,Sigma 50mm F1.4 DG DN | Art,50,50,f/1.4,72,45,81,3.19,109.8,4.32,670,23.63,No,No,,,849,Released 2023
Third-Party,Sigma,Full-Frame,Prime,E,Sigma 50mm F2 DG DN | Contemporary (I series),50,50,f/2,58,45,70,2.76,68,2.68,350,12.35,No,No,,,639,Released 2023
Third-Party,Sigma,Full-Frame,Prime,E,Sigma 65mm F2 DG DN | Contemporary (I series),65,65,f/2,62,55,72,2.83,74.7,2.94,405,14.29,No,No,,,699,Released 2020
Third-Party,Sigma,Full-Frame,Prime,E,Sigma 85mm F1.4 DG HSM | Art,85,85,f/1.4,86,85,94.7,3.73,126.2,4.97,1130,39.86,No,No,,,1199,Released 2018
Third-Party,Sigma,Full-Frame,Prime,E,Sigma 85mm F1.4 DG DN | Art,85,85,f/1.4,77,85,82.8,3.26,96.1,3.78,630,22.22,No,No,,,1099,Released 2020
Third-Party,Sigma,Full-Frame,Prime,E,Sigma 90mm F2.8 DG DN | Contemporary (I series),90,90,f/2.8,55,50,64,2.52,59.7,2.35,295,10.41,No,No,,,699,Released 2021
Third-Party,Sigma,Full-Frame,Prime,E,Sigma 105mm F2.8 DG DN Macro | Art,105,105,f/2.8,62,29.5,74,2.91,133.9,5.27,710,25.04,No,No,,,799,Released 2020; Macro lens
Third-Party,Sigma,Full-Frame,Prime,E,Sigma 135mm F1.8 DG HSM | Art,135,135,f/1.8,N/A,87.5,91.4,3.60,114.9,4.52,1130,39.86,No,No,,,1399,Released 2017
Third-Party,Sigma,Full-Frame,Zoom,E,Sigma 14-24mm F2.8 DG DN | Art,14,24,f/2.8,N/A,28,85,3.35,133,5.24,1150,40.57,No,No,,,1499,Released 2021
Third-Party,Sigma,Full-Frame,Zoom,E,Sigma 16-28mm F2.8 DG DN | Contemporary,16,28,f/2.8,72,25,77.2,3.04,100.6,3.96,450,15.87,No,No,,,1099,Released 2022
Third-Party,Sigma,Full-Frame,Zoom,E,Sigma 24-35mm F2 DG HSM | Art,24,35,f/2,82,28,87.6,3.45,122.7,4.83,940,33.16,No,No,,,999,Released 2015
Third-Party,Sigma,Full-Frame,Zoom,E,Sigma 24-70mm F2.8 DG DN | Art,24,70,f/2.8,82,18,87.8,3.46,122.9,4.84,830,29.28,No,No,,,1099,Released 2022
Third-Party,Sigma,Full-Frame,Zoom,E,Sigma 24-70mm F2.8 DG OS HSM | Art,24,70,f/2.8,82,37,88,3.46,107.6,4.24,1020,35.98,Yes,No,,,1299,Discontinued
Third-Party,Sigma,Full-Frame,Zoom,E,Sigma 28-45mm F1.8 DG DN | Art,28,45,f/1.8,82,30,87.8,3.46,153.4,6.04,960,33.86,No,No,,,1349,Released 2024
Third-Party,Sigma,Full-Frame,Zoom,E,Sigma 28-70mm F2.8 DG DN | Contemporary,28,70,f/2.8,67,19,72.2,2.84,103.5,4.07,470,16.58,No,No,,,799,Released 2021
Third-Party,Sigma,Full-Frame,Zoom,E,Sigma 60-600mm F4.5-6.3 DG DN OS | Sports,60,600,f/4.5,105,45,105.4,4.15,268.9,10.59,2485,87.69,Yes,No,,,2499,Released 2023
Third-Party,Sigma,Full-Frame,Zoom,E,Sigma 100-400mm F5-6.3 DG DN OS | Contemporary,100,400,f/5,67,112,86,3.39,197.2,7.76,1140,40.21,Yes,No,,,949,Released 2020
Third-Party,Sigma,Full-Frame,Zoom,E,Sigma 150-600mm F5-6.3 DG DN OS | Sports,150,600,f/5,N/A,280,107.2,4.22,263.6,10.38,2100,74.08,Yes,No,,,1499,Released 2021
Third-Party,Tamron,Full-Frame,Prime,E,Tamron 35mm F/2.8 Di III OSD M1:2,35,35,f/2.8,67,15,73,2.87,64,2.52,210,7.41,No,No,,,349,Released 2019; Macro lens
Third-Party,Tamron,Full-Frame,Prime,E,Tamron SP 35mm F/1.4 Di USD,35,35,f/1.4,72,30,80.9,3.19,104.4,4.11,815,28.75,No,No,,,899,Released 2019
Third-Party,Tamron,Full-Frame,Prime,E,Tamron 70-210mm F/4 Di VC USD,70,210,f/4,67,95,76.6,3.02,174,6.85,860,30.34,Yes,No,,,799,Released 2018
Third-Party,Tamron,Full-Frame,Zoom,E,Tamron 17-28mm F/2.8 Di III RXD,17,28,f/2.8,67,19,73,2.87,99,3.90,420,14.82,No,No,,,799,Released 2019
Third-Party,Tamron,Full-Frame,Zoom,E,Tamron 20-40mm F/2.8 Di III VXD,20,40,f/2.8,67,17,74.4,2.93,86.5,3.40,365,12.87,No,No,,,699,Released 2022
Third-Party,Tamron,Full-Frame,Zoom,E,Tamron 28-200mm F/2.8-5.6 Di III RXD,28,200,f/2.8,67,19,74,2.91,117,4.61,575,20.28,No,No,,,729,Released 2020
Third-Party,Tamron,Full-Frame,Zoom,E,Tamron 28-300mm F/4-7.1 Di III VC VXD,28,300,f/4,67,19,78,3.07,126,4.96,610,21.52,Yes,No,,,899,Released 2024
Third-Party,Tamron,Full-Frame,Zoom,E,Tamron 35-150mm F/2-2.8 Di III VXD,35,150,f/2,82,33,89.2,3.51,158,6.22,1165,41.10,No,No,,,1899,Released 2021
Third-Party,Tamron,Full-Frame,Zoom,E,Tamron 50-300mm F/4.5-6.3 Di III VC VXD,50,300,f/4.5,67,22,78,3.07,156,6.14,665,23.46,Yes,No,,,799,Released 2024
Third-Party,Tamron,Full-Frame,Zoom,E,Tamron 50-400mm F/4.5-6.3 Di III VC VXD,50,400,f/4.5,67,25,88.5,3.48,183.4,7.22,1155,40.74,Yes,No,,,1299,Released 2022
Third-Party,Tamron,Full-Frame,Zoom,E,Tamron 70-180mm F/2.8 Di III VXD,70,180,f/2.8,67,85,81,3.19,149,5.87,810,28.57,No,No,,,1199,Released 2020
Third-Party,Tamron,Full-Frame,Zoom,E,Tamron 70-180mm F/2.8 Di III VC VXD G2,70,180,f/2.8,67,85,83,3.27,156.5,6.16,855,30.16,Yes,No,,,1299,Released 2023
Third-Party,Tamron,Full-Frame,Zoom,E,Tamron 70-200mm F/2.8 Di III RXD,70,200,f/2.8,77,95,88.4,3.48,193.3,7.61,1505,53.09,No,No,,,1799,Discontinued
Third-Party,Tamron,Full-Frame,Zoom,E,Tamron 70-300mm F/4.5-6.3 Di III RXD,70,300,f/4.5,67,80,77,3.03,148,5.83,545,19.22,No,No,,,549,Released 2020
Third-Party,Tamron,Full-Frame,Zoom,E,Tamron 150-500mm F/5-6.7 Di III VC VXD,150,500,f/5,82,60,93,3.66,209.6,8.25,1725,60.85,Yes,No,,,1399,Released 2021
Third-Party,Tamron,Full-Frame,Zoom,E,Tamron 300mm F/2.8 Di III VC VXD,300,300,f/2.8,112,270,116,4.57,236,9.29,1470,51.85,Yes,No,,,2999,Released 2024
Third-Party,TTArtisan,Full-Frame,Prime,E,TTArtisan AF 75mm F2,75,75,f/2,62,75,,,82,3.23,340,11.99,No,No,,,199,Released 2024
Third-Party,Viltrox,Full-Frame,Prime,E,Viltrox AF 16mm F1.8 FE,16,16,f/1.8,N/A,27,85.2,3.35,103,4.06,550,19.40,No,No,,,549,Released 2023
Third-Party,Viltrox,Full-Frame,Prime,E,Viltrox AF 20mm F2.8 FE,20,20,f/2.8,52,19,65,2.56,60.5,2.38,157,5.54,No,No,,,158,Released 2024
Third-Party,Viltrox,Full-Frame,Prime,E,Viltrox AF 28mm F1.8 FE,28,28,f/1.8,55,35,70,2.76,101,3.98,367,12.95,No,No,,,379,Released 2023
Third-Party,Viltrox,Full-Frame,Prime,E,Viltrox AF 35mm F1.4 LAB FE,35,35,f/1.4,77,42,92.2,3.63,109.4,4.31,665,23.46,No,No,,,899,Released 2024
Third-Party,Viltrox,Full-Frame,Prime,E,Viltrox AF 35mm F1.8 FE,35,35,f/1.8,55,40,70,2.76,91,3.58,310,10.93,No,No,,,379,Released 2023
Third-Party,Viltrox,Full-Frame,Prime,E,Viltrox AF 50mm F1.4 Air FE,50,50,f/1.4,67,45,74,2.91,93.2,3.67,425,14.99,No,No,,,329,Released 2024
Third-Party,Viltrox,Full-Frame,Prime,E,Viltrox AF 85mm F1.8 Mark II FE,85,85,f/1.8,72,80,80,3.15,92,3.62,545,19.22,No,No,,,448,Released 2023
Third-Party,Viltrox,Full-Frame,Prime,E,Viltrox AF 135mm F1.8 LAB FE,135,135,f/1.8,82,70,93.4,3.68,131,5.16,1050,37.04,No,No,,,1399,Released 2024
Third-Party,Zeiss,Full-Frame,Prime,E,Zeiss Batis 2/25,25,25,f/2,67,20,92,3.62,81,3.19,335,11.82,No,No,,,1299,Released 2015
Third-Party,Zeiss,Full-Frame,Prime,E,Zeiss Batis 2.8/18,18,18,f/2.8,77,25,95,3.74,99,3.90,330,11.64,No,No,,,1499,Released 2016
Third-Party,Zeiss,Full-Frame,Prime,E,Zeiss Batis 2.8/135,135,135,f/2.8,77,87,98,3.86,120,4.72,614,21.66,Yes,No,,,1999,Released 2017
Third-Party,Zeiss,Full-Frame,Prime,E,Zeiss Batis 1.8/85,85,85,f/1.8,67,80,92,3.62,82,3.23,475,16.76,No,No,,,1199,Released 2015
Third-Party,Zeiss,Full-Frame,Prime,E,Zeiss Batis 2.8/40 CF,40,40,f/2.8,67,24,87,3.43,92,3.62,361,12.73,No,No,,,1299,Released 2018; Macro lens
Third-Party,Zeiss,Full-Frame,Prime,E,Zeiss Loxia 2.8/21,21,21,f/2.8,52,25,62.4,2.46,87,3.43,394,13.90,No,No,,,1499,Released 2015
Third-Party,Zeiss,Full-Frame,Prime,E,Zeiss Loxia 2.4/25,25,25,f/2.4,52,30,62.4,2.46,75,2.95,393,13.86,No,No,,,1299,Released 2016
Third-Party,Zeiss,Full-Frame,Prime,E,Zeiss Loxia 2/35,35,35,f/2,52,30,62.4,2.46,89,3.50,280,9.88,No,No,,,1199,Released 2014
Third-Party,Zeiss,Full-Frame,Prime,E,Zeiss Loxia 2/50,50,50,f/2,52,45,62.4,2.46,66,2.60,320,11.29,No,No,,,949,Released 2014
Third-Party,Zeiss,Full-Frame,Prime,E,Zeiss Loxia 2.4/85,85,85,f/2.4,52,80,62.4,2.46,94,3.70,428,15.10,No,No,,,1449,Released 2016
Third-Party,Voigtlander,Full-Frame,Prime,E,Voigtlander 10mm F5.6 Hyper Wide Heliar Asph III,10,10,f/5.6,,,70.1,2.76,68.1,2.68,362,12.77,No,No,,,799,Manual focus
Third-Party,Voigtlander,Full-Frame,Prime,E,Voigtlander 12mm F5.6 Ultra Wide Heliar Asph III,12,12,f/5.6,,,74.6,2.94,58.2,2.29,287,10.12,No,No,,,649,Manual focus
Third-Party,Voigtlander,Full-Frame,Prime,E,Voigtlander 15mm F4.5 Super Wide Heliar Asph III,15,15,f/4.5,,,74.6,2.94,62.3,2.45,247,8.71,No,No,,,649,Manual focus
Third-Party,Voigtlander,Full-Frame,Prime,E,Voigtlander 21mm F3.5 Color-Skopar Asph,21,21,f/3.5,,,74.6,2.94,40.9,1.61,230,8.11,No,No,,,549,Manual focus
Third-Party,Voigtlander,Full-Frame,Prime,E,Voigtlander 35mm F1.7 Ultron,35,35,f/1.7,,,63.3,2.49,55.2,2.17,260,9.17,No,No,,,649,Manual focus
Third-Party,Voigtlander,Full-Frame,Prime,E,Voigtlander 40mm F1.2 Nokton Asph,40,40,f/1.2,,,70.1,2.76,59.3,2.33,315,11.11,No,No,,,799,Manual focus
Third-Party,Voigtlander,Full-Frame,Prime,E,Voigtlander 50mm F1.0 Nokton,50,50,f/1.0,,,79.4,3.13,66.6,2.62,650,22.93,No,No,,,1799,Manual focus
Third-Party,Voigtlander,Full-Frame,Prime,E,Voigtlander 50mm F1.2 Nokton Asph,50,50,f/1.2,,,70.1,2.76,68.2,2.69,352,12.42,No,No,,,999,Manual focus
Third-Party,Voigtlander,Full-Frame,Prime,E,Voigtlander 50mm F2.0 APO-Lanthar Asph,50,50,f/2.0,,,63.3,2.49,51.9,2.04,288,10.16,No,No,,,1049,Manual focus
Third-Party,Voigtlander,Full-Frame,Prime,E,Voigtlander 65mm F2.0 Macro APO-Lanthar,65,65,f/2.0,,,76.8,3.02,91.3,3.60,340,11.99,No,No,,,799,Manual focus; Macro lens
Third-Party,Voigtlander,Full-Frame,Prime,E,Voigtlander 75mm F1.5 Nokton,75,75,f/1.5,,,74.6,2.94,73.1,2.88,525,18.52,No,No,,,899,Manual focus
Third-Party,Voigtlander,Full-Frame,Prime,E,Voigtlander 90mm F2.8 Macro APO-Lanthar,90,90,f/2.8,,,74.6,2.94,74.3,2.93,346,12.21,No,No,,,799,Manual focus; Macro lens
Third-Party,Voigtlander,Full-Frame,Prime,E,Voigtlander 110mm F2.5 Macro APO-Lanthar,110,110,f/2.5,,,78.4,3.09,100.3,3.95,770,27.16,No,No,,,1099,Manual focus; Macro lens
Third-Party,Laowa,Full-Frame,Zoom,E,Laowa 12-24mm F5.6 Zoom Shift,12,24,f/5.6,77,20,100,3.94,91,3.58,575,20.28,No,No,,,649,Released 2021; Manual focus; Shift lens
Third-Party,Tokina,Full-Frame,Zoom,E,Tokina SZX SUPER TELE 400mm F8 Reflex MF,400,400,f/8,77,1.15,74,2.91,77,3.03,330,11.64,No,No,,,249,Manual focus; Reflex lens
